City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
404,ola,59.5833,151.2833,-22.33,85,98,4.0,RU,1707250662
405,codrington,-38.2667,141.9667,11.51,89,26,1.49,AU,1707250663
406,guerrero negro,27.9769,-114.0611,15.54,87,100,5.0,MX,1707250664
407,bokhan,53.153,103.7714,-20.92,100,38,1.42,RU,1707250665
408,fomboni,-12.28,43.7425,29.33,77,12,3.79,KM,1707250666
409,ulanhot,46.0833,122.0833,-15.8,80,3,2.34,CN,1707250667
410,visakhapatnam,17.69,83.2093,23.38,81,0,2.47,IN,1707250668
411,klyavlino,54.2649,52.0267,-2.44,98,100,3.01,RU,1707250668
412,kunyang,27.6658,120.5658,5.22,93,100,2.19,CN,1707250669
413,ugoofaaru,5.6667,73.0,27.85,71,13,6.31,MV,1707250670
414,alakurtti,66.9672,30.3491,-22.93,100,100,0.69,RU,1707250670
415,nabire,-3.3667,135.4833,24.92,88,100,1.19,ID,1707250671
416,emerald,-23.5333,148.1667,25.75,79,79,2.7,AU,1707250672
417,fort mcmurray,56.7268,-111.381,-11.23,72,100,5.66,CA,1707250672
418,akrehamn,59.2667,5.1833,1.34,100,100,5.14,NO,1707250674
419,tabou,4.423,-7.3528,28.17,78,2,4.82,CI,1707250674
420,port augusta,-32.5,137.7667,16.67,52,0,4.19,AU,1707250675
421,titabar,26.6,94.2,13.35,94,43,0.33,IN,1707250676
422,sodankyla,67.4167,26.6,-22.19,100,100,1.66,FI,1707250676
423,bafq,31.6128,55.4107,10.23,21,0,3.31,IR,1707250677
424,altamira,-3.2033,-52.2064,29.24,66,93,1.64,BR,1707250678
425,jayapura,-2.5333,140.7,24.66,93,100,6.08,ID,1707250678
426,bornu yassu,12.2774,12.5552,20.14,24,59,4.18,NG,1707250679
427,esfarayen,37.0765,57.5101,1.81,73,75,2.62,IR,1707250680
428,cestos city,5.46,-9.5828,27.74,83,0,4.42,LR,1707250680
429,stranraer,54.9023,-5.0273,5.62,62,100,6.01,GB,1707250635
430,bandarbeyla,9.4942,50.8122,25.05,75,0,6.85,SO,1707250682
431,horta,38.5333,-28.6333,16.8,96,75,5.81,PT,1707250682
432,corigliano scalo,39.6266,16.512,15.78,57,23,2.74,IT,1707250683
433,anna regina,7.2644,-58.5077,28.42,76,34,5.64,GY,1707250684
434,salalah,17.0151,54.0924,22.19,54,50,0.8,OM,1707250684
435,yershov,51.3513,48.2766,-6.52,86,97,9.55,RU,1707250685
436,aksuat,48.7167,83.7,-14.85,80,8,1.66,KZ,1707250686
437,elche,38.2622,-0.7011,18.01,63,0,3.58,ES,1707250686
438,newman,37.3138,-121.0208,12.25,78,98,3.67,US,1707250687
439,umm kaddadah,13.6017,26.6876,17.97,20,6,7.1,SD,1707250688
440,corumba,-19.0092,-57.6533,29.84,74,75,5.14,BR,1707250688
441,pimentel,-6.8367,-79.9342,31.16,51,0,8.75,PE,1707250689
442,darwin,-12.4611,130.8418,27.99,86,33,3.6,AU,1707250443
443,constantia,44.1833,28.65,8.38,58,48,5.64,RO,1707250690
444,limoux,42.9167,2.1667,12.06,84,100,2.3,FR,1707250691
445,vallenar,-28.5708,-70.7581,29.16,39,100,3.23,CL,1707250692
446,punto fijo,11.6956,-70.1996,27.81,76,16,4.38,VE,1707250692
447,marquette,46.5333,-87.6335,8.91,61,100,2.68,US,1707250693
448,knysna,-34.0363,23.0471,20.85,89,97,1.77,ZA,1707250694
449,isabela,6.7085,121.9711,24.19,84,94,0.83,PH,1707250695
450,tadpatri,14.9167,78.0167,24.26,60,0,2.33,IN,1707250695
451,tamarin,-20.3256,57.3706,26.96,92,79,4.91,MU,1707250696
452,pervomaysk,48.0443,30.8507,7.26,73,100,5.16,UA,1707250697
453,cadale,2.7603,46.3222,26.67,86,86,7.73,SO,1707250697
454,pangai,-19.8,-174.35,28.06,74,75,4.63,TO,1707250698
455,lompoc,34.6391,-120.4579,14.41,63,100,4.63,US,1707250699
456,harper,4.375,-7.7169,27.84,81,3,4.79,LR,1707250699
457,swakopmund,-22.6833,14.5333,20.47,87,79,4.45,NA,1707250700
458,ishigaki,24.3448,124.1572,20.07,77,100,2.57,JP,1707250701
459,haiku-pauwela,20.9219,-156.3051,24.59,66,20,9.26,US,1707250702
460,whangarei,-35.7317,174.3239,18.26,86,46,1.1,NZ,1707250702
461,bandar-e anzali,37.4727,49.4622,10.53,78,0,3.03,IR,1707250707
462,choibalsan,48.0667,114.5,-20.56,92,9,3.43,MN,1707250708
463,silifke,36.3778,33.9344,14.9,60,0,1.67,TR,1707250708
464,langepas,61.2544,75.2124,-1.22,92,100,5.41,RU,1707250709
465,yonggwang-up,40.0183,127.4547,-5.15,86,13,1.76,KP,1707250710
466,bouca,6.5105,18.2733,26.79,23,49,2.24,CF,1707250711
467,quebrangulo,-9.3189,-36.4711,29.72,52,76,7.75,BR,1707250711
468,kenai,60.5544,-151.2583,-7.97,93,75,0.0,US,1707250712
469,miyaly,48.8844,53.7836,-3.89,92,100,14.36,KZ,1707250713
470,gasa,31.5,34.4667,14.72,79,0,2.39,PS,1707250657
471,roosevelt,33.9668,-103.4505,15.12,35,98,7.96,US,1707250714
472,haldwani,29.2167,79.5167,10.89,60,42,1.9,IN,1707250715
473,suntar,62.1444,117.6319,-21.1,99,100,1.13,RU,1707250715
474,selkirk,50.1436,-96.8845,2.31,96,73,0.89,CA,1707250716
475,al wasitah,29.3378,31.2056,14.91,61,0,4.12,EG,1707250717
476,kendari,-3.945,122.4989,24.46,93,97,1.11,ID,1707250718
477,aitape,-3.1374,142.3475,25.5,91,100,4.45,PG,1707250718
478,port saint john's,-31.6229,29.5448,23.59,90,40,6.53,ZA,1707250719
479,smithers,54.7804,-127.1743,-2.82,80,100,1.03,CA,1707250514
480,rockland,41.1668,-74.0496,5.95,50,5,0.45,US,1707250720
481,bodaybo,57.8506,114.1933,-15.12,98,100,1.33,RU,1707250721
482,kingston,17.997,-76.7936,29.53,50,40,8.23,JM,1707250443
483,anatuya,-28.4606,-62.8347,42.03,17,67,4.22,AR,1707250722
484,glubokoye,50.1456,82.3114,-17.94,85,72,1.0,KZ,1707250723
485,pundong,-7.9522,110.3486,24.19,91,100,1.71,ID,1707250724
486,leeton,-34.5667,146.4,13.38,49,49,2.57,AU,1707250726
487,cruzeiro do sul,-29.5128,-51.9853,31.96,71,100,4.72,BR,1707250726
488,caetite,-14.0694,-42.475,26.58,58,100,2.18,BR,1707250727
489,pacific grove,36.6177,-121.9166,14.12,77,40,3.09,US,1707250728
490,mossel bay,-34.1831,22.146,21.96,82,99,1.82,ZA,1707250733
491,ketchikan,55.3422,-131.6461,2.41,80,100,1.54,US,1707250733
492,luza,60.6308,47.2512,-26.9,100,89,1.51,RU,1707250734
493,bargaal,11.2864,51.0773,24.69,79,15,3.34,SO,1707250735
494,kerikeri,-35.2268,173.9474,17.17,93,10,0.45,NZ,1707250735
495,nekrasovskoye,57.6766,40.3657,-20.06,84,40,0.0,RU,1707250736
496,lalibela,12.0333,39.0333,18.43,58,68,1.15,ET,1707250737
497,santiago del torno,-17.9833,-63.3833,34.42,42,79,3.14,BO,1707250737
498,machico,32.7,-16.7667,19.35,69,20,3.6,PT,1707250738
499,hami,42.8,93.45,-4.31,54,1,2.69,CN,1707250739
500,onguday,50.75,86.15,-16.64,96,48,1.37,RU,1707250739
501,petrolina,-9.3986,-40.5008,33.03,43,20,3.6,BR,1707250740
502,nova sintra,14.8667,-24.7167,21.14,72,0,3.9,CV,1707250741
503,santa maria de palautordera,41.7,2.45,11.95,85,100,0.59,ES,1707250742
504,high river,50.5834,-113.8687,-5.12,87,100,2.01,CA,1707250742
505,pacasmayo,-7.4006,-79.5714,27.34,65,32,6.79,PE,1707250743
506,tabas,33.5959,56.9244,10.67,27,0,1.77,IR,1707250744
507,iraquara,-12.2486,-41.6194,28.48,50,100,2.95,BR,1707250745
508,kidal,18.4411,1.4078,19.23,15,0,4.98,ML,1707250745
509,tisul',55.7611,88.3122,-10.83,92,100,1.56,RU,1707250746
510,hjorring,57.4642,9.9823,1.4,79,89,4.79,DK,1707250747
511,bhakkar,31.6253,71.0657,11.92,37,77,2.41,PK,1707250748
512,acarau,-2.8856,-40.12,29.26,71,99,8.29,BR,1707250748
513,uturoa,-16.7333,-151.4333,28.15,85,100,9.9,PF,1707250749
514,bubaque,11.2833,-15.8333,26.62,75,0,7.08,GW,1707250750
515,hillsboro,45.5229,-122.9898,10.29,86,100,1.34,US,1707250751
516,moose jaw,50.4001,-105.5344,-1.85,86,100,3.09,CA,1707250751
517,neryungri,56.6709,124.6491,-14.01,97,100,1.26,RU,1707250752
518,sangkhla buri,15.1555,98.4536,16.84,52,7,0.76,TH,1707250753
519,shumerlya,55.5005,46.4129,-14.93,94,91,4.31,RU,1707250753
520,sinjai,-5.1241,120.253,24.12,87,100,1.38,ID,1707250754
521,santa rosalia,27.3167,-112.2833,20.02,45,100,2.65,MX,1707250756
522,kalmunai,7.4167,81.8167,25.25,72,77,3.16,LK,1707250757
523,bishkek,42.87,74.59,-4.89,62,91,2.46,KG,1707250759
524,baiti,13.745,-14.7482,32.86,9,0,3.44,SN,1707250760
525,sydney,-33.8679,151.2073,18.73,72,75,8.75,AU,1707250395
526,gdov,58.7406,27.8122,-8.63,98,83,2.52,RU,1707250761
527,korsholm,63.1142,21.6822,-14.03,85,75,1.03,FI,1707250762
528,dryden,49.7833,-92.7503,2.16,87,100,2.06,CA,1707250762
529,caraballeda,10.6112,-66.8522,31.04,58,100,3.09,VE,1707250763
530,tibanbang,6.6315,126.1055,25.68,81,100,2.09,PH,1707250764
531,kitui,-1.367,38.0106,21.57,52,76,1.98,KE,1707250764
532,la'ie,21.6477,-157.9253,25.98,72,4,3.58,US,1707250765
533,gaiman,-43.2897,-65.4929,35.52,10,100,7.04,AR,1707250766
534,sorsk,54.0033,90.2467,-15.1,88,25,1.42,RU,1707250766
535,umluj,25.0213,37.2685,19.74,43,0,7.22,SA,1707250767
536,pandan,14.0453,124.1694,24.85,84,96,3.71,PH,1707250768
537,hammerfest,70.6634,23.6821,-4.75,74,75,3.09,NO,1707250768
538,tibati,6.4667,12.6333,24.49,19,51,3.79,CM,1707250769
539,iquique,-20.2208,-70.1431,29.02,77,16,3.94,CL,1707250770
540,muscatine,41.4667,-91.1335,12.1,51,0,2.57,US,1707250770
541,colac,-38.3333,143.5833,11.71,95,3,1.23,AU,1707250771
542,pariaman,-0.619,100.12,27.03,87,98,1.45,ID,1707250772
543,alaghsas,17.0187,8.0168,18.21,19,97,7.24,NE,1707250772
544,nizhniy odes,63.6445,54.856,-25.5,100,99,1.41,RU,1707250773
545,huayacocotla,20.55,-98.4833,16.3,42,0,3.49,MX,1707250774
546,hilo,19.7297,-155.09,23.49,78,100,2.57,US,1707250774
547,magong,23.5654,119.5863,17.77,88,100,11.58,TW,1707250637
548,al jubayl,27.0112,49.6583,18.09,45,0,3.26,SA,1707250776
549,saint-julien-en-genevois,46.0833,6.0833,3.48,82,0,4.12,FR,1707250776
550,chardara,41.2547,67.9692,11.3,36,100,9.14,KZ,1707250777
551,tokmok,42.8417,75.3016,1.97,48,78,3.6,KG,1707250778
552,funafuti,-8.5243,179.1942,28.0,83,100,7.2,TV,1707250778
553,glace bay,46.1969,-59.957,0.55,90,100,8.75,CA,1707250779
554,preobrazheniye,42.9019,133.9064,-8.98,60,0,3.15,RU,1707250780
555,svetlogorsk,52.6333,29.7333,-0.03,99,100,2.77,BY,1707250781
556,hancheng,32.5186,112.3522,-1.69,89,97,2.5,CN,1707250781
557,cabedelo,-6.9811,-34.8339,30.37,71,37,5.19,BR,1707250782
558,boende,-0.2167,20.8667,26.47,55,45,0.63,CD,1707250783
559,newport,51.5877,-2.9984,12.73,95,100,13.05,GB,1707250783
560,san rafael del sur,11.8485,-86.4384,27.54,66,68,1.81,NI,1707250784
561,motueka,-41.1333,173.0167,19.5,46,38,2.22,NZ,1707250785
562,klipphausen,51.0833,13.5333,10.4,77,20,9.26,DE,1707250786
563,ancud,-41.8697,-73.8203,16.37,97,100,9.08,CL,1707250787
564,taltal,-25.4,-70.4833,24.33,68,22,2.61,CL,1707250541
565,kon tum,14.35,108.0,19.6,94,0,0.83,VN,1707250788
566,moapa valley,36.5805,-114.4703,10.86,68,100,5.26,US,1707250714
567,lisala,2.15,21.5167,25.41,34,5,1.08,CD,1707250789
568,baoro,5.6667,15.9667,23.14,28,14,2.39,CF,1707250790
569,albesti,47.7,27.0667,8.57,73,100,1.77,RO,1707250791
570,maloye ganyushkino,46.6,49.2667,-0.39,68,28,10.01,KZ,1707250791
571,nouadhibou,20.931,-17.0347,23.99,38,49,5.66,MR,1707250793
572,semey,50.4111,80.2275,-8.77,78,85,6.04,KZ,1707250793
573,namie,37.4833,141.0,-2.79,94,39,2.31,JP,1707250794
